,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
177,177,MIIC,5,1.1,4,1000,4,0.0021350383758544,False,1.0,0.6,0.7499999999999999,2,4
178,178,GHC,5,1.1,4,1000,4,0.0102210044860839,False,1.0,0.6,0.7499999999999999,2,4
179,179,FCI,5,1.1,4,1000,4,0.0023868083953857,False,0.0,0.0,0.0,0,0
180,180,MIIC,5,1.3,2,100,0,0.0014920234680175,False,1.0,0.3333333333333333,0.5,4,6
181,181,GHC,5,1.3,2,100,0,0.0106370449066162,False,0.75,0.5,0.6,4,5
182,182,FCI,5,1.3,2,100,0,0.0011327266693115,False,1.0,0.3333333333333333,0.5,4,6
183,183,MIIC,5,1.3,2,100,1,0.0021700859069824,False,0.75,0.5,0.6,4,6
184,184,GHC,5,1.3,2,100,1,0.0108749866485595,False,1.0,0.5,0.6666666666666666,3,5
185,185,FCI,5,1.3,2,100,1,0.0016520023345947,False,1.0,0.3333333333333333,0.5,4,5
186,186,MIIC,5,1.3,2,100,2,0.0015249252319335,False,1.0,0.4,0.5714285714285715,3,5
187,187,GHC,5,1.3,2,100,2,0.0108351707458496,False,1.0,0.4,0.5714285714285715,3,3
188,188,FCI,5,1.3,2,100,2,0.0011193752288818,False,0.0,0.0,0.0,0,0
189,189,MIIC,5,1.3,2,100,3,0.0014150142669677,False,1.0,0.75,0.8571428571428571,1,1
190,190,GHC,5,1.3,2,100,3,0.0098700523376464,False,1.0,0.75,0.8571428571428571,1,1
191,191,FCI,5,1.3,2,100,3,0.0012619495391845,False,0.0,0.0,0.0,0,0
192,192,MIIC,5,1.3,2,100,4,0.0013110637664794,False,1.0,0.4,0.5714285714285715,3,4
193,193,GHC,5,1.3,2,100,4,0.0103170871734619,False,1.0,0.6,0.7499999999999999,2,2
194,194,FCI,5,1.3,2,100,4,0.0008840560913085,False,0.0,0.0,0.0,0,0
195,195,MIIC,5,1.3,2,250,0,0.0019609928131103,False,1.0,0.6666666666666666,0.8,2,3
196,196,GHC,5,1.3,2,250,0,0.0102629661560058,False,1.0,0.6666666666666666,0.8,2,3
197,197,FCI,5,1.3,2,250,0,0.0015981197357177,False,1.0,0.5,0.6666666666666666,3,3
198,198,MIIC,5,1.3,2,250,1,0.0014450550079345,False,1.0,0.75,0.8571428571428571,1,1
